Ticker,Date,Price,Volume
ACB,20150121,15.2,205371
ACB,20150120,15.3,75172
ACB,20150119,15.4,230317
ACB,20150116,15.2,374204
ACB,20150115,15.2,244964
ACB,20150114,15.5,300420
ACB,20150113,15.8,416006
ACB,20150112,15.4,368334
ACB,20150109,15.2,693623
ACB,20150108,15.1,14880
ACB,20150107,15,232861
ACB,20150106,14.9,89802
ACB,20150105,14.7,55888
ACB,20141231,14.8,39354
ACB,20141230,14.7,178030
ACB,20141229,14.7,105923
ACB,20141226,14.8,47517
ACB,20141225,14.8,68821
ACB,20141224,14.9,181309
ACB,20141223,14.9,92526
ACB,20141222,14.7,43600
ACB,20141219,14.8,140100
ACB,20141218,14.8,63994
ACB,20141217,14.7,275334
ACB,20141216,14.8,397979
ACB,20141215,14.9,108333
ACB,20141212,14.9,50253
ACB,20141211,14.9,65131
ACB,20141210,14.8,129215
ACB,20141209,14.7,119810
ACB,20141208,14.9,60200
ACB,20141205,14.9,212038
ACB,20141204,14.9,202567
ACB,20141203,14.6,171643
ACB,20141202,14.5,78471
ACB,20141201,14.6,245301
ACB,20141128,14.6,108071
ACB,20141127,14.8,23569
ACB,20141126,14.6,68795
ACB,20141125,14.8,128283
ACB,20141124,14.7,175773
ACB,20141121,14.8,22641
ACB,20141120,14.9,33683
ACB,20141119,14.9,143255
ACB,20141118,15,145431
ACB,20141117,15.1,377610
ACB,20141114,15,64189
ACB,20141113,15.3,142342
ACB,20141112,15.3,341874
ACB,20141111,15,137791
ACB,20141110,14.8,23052
ACB,20141107,14.9,108912
ACB,20141106,14.9,607153
ACB,20141105,14.5,211312
ACB,20141104,14.7,46793
ACB,20141103,14.7,100354
ACB,20141031,14.7,24038
ACB,20141030,14.7,62070
ACB,20141029,14.6,106491
ACB,20141028,14.5,251163
ACB,20141027,14.5,217065
ACB,20141024,14.5,52162
ACB,20141023,14.6,161552
ACB,20141022,14.5,31795
ACB,20141021,14.5,289064
ACB,20141020,14.5,108468
ACB,20141017,14.6,210289
ACB,20141016,14.5,353992
ACB,20141015,14.5,419645
ACB,20141014,14.5,231600
ACB,20141013,14.5,312707
ACB,20141010,14.5,776490
ACB,20141009,14.5,170800
ACB,20141008,14.5,188392
ACB,20141007,14.5,110487
ACB,20141006,14.5,495107
ACB,20141003,14.5,317254
ACB,20141002,14.6,235725
ACB,20141001,14.6,341868
ACB,20140930,14.6,79932
ACB,20140929,14.6,293109
