Ticker,Date,Price
ACB,20140904,14.8
ACB,20140903,14.8
ACB,20140829,14.9
ACB,20140828,14.7
ACB,20140827,14.7
ACB,20140826,14.8
ACB,20140825,14.8
ACB,20140822,14.7
ACB,20140821,14.7
ACB,20140820,14.7
ACB,20140819,14.7
ACB,20140818,14.8
ACB,20140815,14.7
ACB,20140814,14.6
ACB,20140813,14.7
ACB,20140812,14.7
ACB,20140811,14.7
ACB,20140808,14.8
ACB,20140807,14.8
ACB,20140806,14.8
ACB,20140805,14.8
ACB,20140804,14.8
ACB,20140801,14.8
ACB,20140731,14.8
ACB,20140730,14.8
ACB,20140729,14.8
ACB,20140728,14.7
ACB,20140725,14.7
ACB,20140724,14.8
ACB,20140723,14.8
ACB,20140722,14.8
ACB,20140721,14.8
ACB,20140718,14.9
ACB,20140717,14.9
ACB,20140716,14.9
ACB,20140715,14.9
ACB,20140714,14.8
ACB,20140711,14.8
ACB,20140710,14.8
ACB,20140709,14.9
ACB,20140708,14.9
ACB,20140707,14.9
ACB,20140704,14.9
ACB,20140703,14.9
ACB,20140702,14.9
ACB,20140701,14.9
ACB,20140630,14.8
ACB,20140627,14.9
ACB,20140626,14.8
ACB,20140625,14.9
ACB,20140624,14.8
ACB,20140623,14.8
ACB,20140620,14.9
ACB,20140619,14.9
ACB,20140618,14.8
ACB,20140617,14.9
ACB,20140616,14.9
ACB,20140613,14.9
ACB,20140612,14.9
ACB,20140611,15
ACB,20140610,14.9
ACB,20140609,14.9
ACB,20140606,14.9
ACB,20140605,14.9
ACB,20140604,14.9
ACB,20140603,14.7
ACB,20140602,14.9
ACB,20140530,15
ACB,20140529,15
ACB,20140528,15.1
ACB,20140527,15
ACB,20140526,14.9
ACB,20140523,14.9
ACB,20140522,14.9
ACB,20140521,15
ACB,20140520,14.8
ACB,20140519,14.8
ACB,20140516,14.8
ACB,20140515,14.8
ACB,20140514,14.7
ACB,20140513,14.4
ACB,20140512,14.3
ACB,20140509,14.7
ACB,20140508,14.5
ACB,20140507,15
ACB,20140506,14.9
ACB,20140505,15
ACB,20140429,15
ACB,20140428,15
ACB,20140425,15.1
ACB,20140424,14.8
ACB,20140423,15.1
ACB,20140422,15.3
ACB,20140421,15.2
ACB,20140418,15.3
ACB,20140417,15.3
ACB,20140416,15.4
ACB,20140415,15.3
ACB,20140414,15.6
ACB,20140411,15.5
ACB,20140410,15.5
ACB,20140408,15.4
ACB,20140407,15.5
ACB,20140404,15.6
ACB,20140403,15.7
ACB,20140402,15.4
ACB,20140401,15.5
ACB,20140331,15.6
ACB,20140328,15.6
ACB,20140327,15.6
ACB,20140326,15.6
ACB,20140325,15.8
ACB,20140324,16
ACB,20140321,15.8
ACB,20140320,15.9
ACB,20140319,16
ACB,20140318,15.6
ACB,20140317,15.2
ACB,20140314,15.1
ACB,20140313,15.1
ACB,20140312,15
ACB,20140311,15.1
ACB,20140310,15.1
ACB,20140307,15.2
ACB,20140306,15.2
ACB,20140305,15.2
ACB,20140304,15.2
ACB,20140303,15.3
ACB,20140228,15.6
ACB,20140227,15.8
ACB,20140226,14.9
ACB,20140225,14.7
ACB,20140224,14.7
ACB,20140221,14.7
ACB,20140220,14.6
ACB,20140219,14.7
